zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
West,,Bachelor,1389173.0,42305.0,117.0,0.0,Personal Auto,Four-Door Car,561.6
North West,,Master,738097.0,65706.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
North West,,Bachelor,309003.0,0.0,90.0,0.0,Personal Auto,Two-Door Car,648.0
Central,,High School or Below,252163.0,53243.0,66.0,2.0,Personal Auto,Four-Door Car,157.397849
Central,,High School or Below,265206.0,0.0,70.0,1.0,Corporate Auto,Two-Door Car,484.318536
North West,,College,277104.0,50071.0,71.0,0.0,Corporate Auto,Two-Door Car,18.918935
West,,Bachelor,393900.0,60021.0,99.0,0.0,Personal Auto,Four-Door Car,882.871945
Central,,High School or Below,1223187.0,43244.0,103.0,0.0,Personal Auto,Sports Car,494.4
East,M,Doctor,495165.0,46896.0,35354.0,1.0,Personal Auto,Four-Door Car,31.707317
North West,,Doctor,1281910.0,10105.0,172.0,3.0,Personal Auto,SUV,0.517753
Central,,Bachelor,446851.0,0.0,73.0,3.0,Personal Auto,Four-Door Car,579.165954
North West,,High School or Below,551434.0,23218.0,71.0,0.0,Personal Auto,Two-Door Car,447.79344
West,,Bachelor,334387.0,0.0,92.0,0.0,Corporate Auto,Four-Door Car,529.624084
Central,,High School or Below,229447.0,0.0,62.0,0.0,Personal Auto,Four-Door Car,313.023175
North West,,College,3670742.0,24804.0,104.0,0.0,Personal Auto,SUV,593.830288
West,,Bachelor,3347334.0,33190.0,106.0,0.0,Corporate Auto,SUV,508.8
Central,,High School or Below,798343.0,36014.0,69.0,3.0,Special Auto,Four-Door Car,173.956072
East,F,Master,487938.0,67163.0,61.0,2.0,Personal Auto,Two-Door Car,33.192803
West,,Bachelor,429399.0,16701.0,113.0,0.0,Personal Auto,Four-Door Car,831.625979
Central,,College,716439.0,46623.0,91.0,0.0,Corporate Auto,Four-Door Car,436.8
West,,College,761951.0,64749.0,64.0,0.0,Special Auto,Four-Door Car,302.56519
Central,,High School or Below,395800.0,0.0,101.0,0.0,Personal Auto,SUV,484.8
North West,,High School or Below,449949.0,16969.0,124.0,2.0,Personal Auto,SUV,704.768111
North West,,Master,405956.0,11621.0,108.0,0.0,Personal Auto,Four-Door Car,518.4
Central,,Bachelor,445811.0,17622.0,65.0,1.0,Personal Auto,Four-Door Car,312.0
West,,Bachelor,811033.0,11489.0,105.0,0.0,Personal Auto,Two-Door Car,504.0
North West,,Bachelor,333976.0,0.0,94.0,0.0,Personal Auto,Two-Door Car,863.327324
West,,High School or Below,2426101.0,66525.0,100.0,0.0,Personal Auto,SUV,104.331355
Central,,Bachelor,661397.0,0.0,63.0,0.0,Personal Auto,Four-Door Car,676.391482
East,,College,293069.0,33663.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
North West,,College,867219.0,22547.0,112.0,0.0,Corporate Auto,SUV,537.6
Central,,High School or Below,1163866.0,61486.0,97.0,0.0,Personal Auto,Two-Door Car,465.258644
North West,,Bachelor,684615.0,0.0,95.0,0.0,Personal Auto,Two-Door Car,456.0
West,,College,1172777.0,29879.0,102.0,0.0,Personal Auto,Four-Door Car,500.254235
North West,,High School or Below,2264383.0,93011.0,113.0,0.0,Personal Auto,SUV,281.451042
North West,,Master,261447.0,65186.0,65.0,0.0,Personal Auto,Two-Door Car,5.434505
North West,,Master,245175.0,26840.0,64.0,2.0,Personal Auto,Four-Door Car,307.2
North West,,Bachelor,678127.0,0.0,104.0,1.0,Personal Auto,Sports Car,982.399613
North West,,Bachelor,497480.0,75644.0,65.0,3.0,Personal Auto,Two-Door Car,467.803638
North West,,Bachelor,859160.0,38984.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
North West,,High School or Below,559216.0,71811.0,71.0,0.0,Personal Auto,Four-Door Car,29.03416
Central,,College,800947.0,20961.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
East,F,Master,182195.88762322016,41275.0,96.0,0.0,Personal Auto,Four-Door Car,41.122303
West,,Bachelor,5816655.0,61321.0,186.0,1.0,Personal Auto,Luxury Vehicle,427.63121
West,,College,802522.0,0.0,77.0,0.0,Personal Auto,Two-Door Car,25.807685
West,,High School or Below,578018.0,51066.0,74.0,0.0,Personal Auto,Four-Door Car,787.993313
West,,Doctor,411853.0,34378.0,102.0,0.0,Personal Auto,SUV,489.6
Central,,Master,252307.0,43072.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
North West,,College,655421.0,25222.0,90.0,0.0,Personal Auto,Four-Door Car,475.623251
East,F,Bachelor,538275.0,77552.0,68.0,1.0,Corporate Auto,Four-Door Car,45.215059
West,,College,592672.0,23091.0,96.0,5.0,Personal Auto,Four-Door Car,460.8
West,,Bachelor,268347.0,48269.0,69.0,3.0,Corporate Auto,Four-Door Car,282.151207
North West,,Bachelor,269518.0,32720.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
West,,College,604702.0,20396.0,76.0,1.0,Personal Auto,Four-Door Car,364.8
North West,,College,1317101.0,21513.0,119.0,1.0,Personal Auto,Two-Door Car,679.827592
East,F,College,1595001.0,0.0,87.0,1.0,Personal Auto,Two-Door Car,46.041452
North West,,Bachelor,252765.0,80744.0,63.0,0.0,Corporate Auto,Four-Door Car,11.879037
North West,,Bachelor,267209.0,52822.0,67.0,0.0,Corporate Auto,Two-Door Car,350.529033
West,,High School or Below,531329.0,0.0,77.0,1.0,Personal Auto,Four-Door Car,863.3947
North West,,Bachelor,2094619.0,69738.0,74.0,1.0,Personal Auto,Four-Door Car,492.127532
Central,,Master,837535.0,17780.0,109.0,0.0,Personal Auto,SUV,132.588288
West,,Bachelor,480166.0,18107.0,62.0,0.0,Personal Auto,Four-Door Car,297.6
Central,,Bachelor,574594.0,57740.0,74.0,3.0,Personal Auto,Four-Door Car,269.905129
North West,,College,606611.0,32627.0,76.0,0.0,Personal Auto,Two-Door Car,380.036697
West,,College,800230.0,0.0,107.0,0.0,Personal Auto,SUV,513.6
West,,College,239391.0,0.0,70.0,0.0,Personal Auto,Four-Door Car,425.266308
North West,,Bachelor,476281.0,65795.0,62.0,1.0,Corporate Auto,Two-Door Car,49.011099
West,,College,433038.0,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
West,,High School or Below,940272.0,0.0,130.0,0.0,Personal Auto,SUV,936.0
North West,,Bachelor,696669.0,41837.0,88.0,0.0,Personal Auto,Four-Door Car,142.062768
West,,Bachelor,769406.0,32303.0,65.0,0.0,Personal Auto,Four-Door Car,45.152521
North West,,High School or Below,871756.0,0.0,117.0,1.0,Personal Auto,SUV,561.6
West,,Bachelor,592874.0,40531.0,74.0,0.0,Personal Auto,Two-Door Car,30.567357
North West,,College,245297.0,79898.0,62.0,1.0,Corporate Auto,Four-Door Car,271.606799
West,,College,670157.0,56398.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
East,M,High School or Below,499655.0,71600.0,63.0,0.0,Personal Auto,Two-Door Car,46.158117
Central,,College,849269.0,27804.0,109.0,0.0,Personal Auto,SUV,784.8
North West,,Bachelor,771349.0,45506.0,66.0,2.0,Personal Auto,Four-Door Car,316.8
East,F,Master,518579.0,99428.0,6464.0,1.0,Personal Auto,Four-Door Car,48.046869
West,,High School or Below,729006.0,0.0,102.0,1.0,Corporate Auto,SUV,489.6
North West,,High School or Below,477294.0,20993.0,133.0,0.0,Personal Auto,SUV,638.4
Central,,High School or Below,680649.0,37839.0,86.0,0.0,Personal Auto,Two-Door Car,465.633954
West,,Bachelor,246978.0,92711.0,62.0,0.0,Personal Auto,Two-Door Car,368.400146
West,,College,310392.0,74665.0,78.0,2.0,Corporate Auto,Four-Door Car,236.902001
East,F,College,1048491.0,61108.0,89.0,0.0,Personal Auto,Four-Door Car,49.451117
West,,Bachelor,890273.0,46833.0,112.0,0.0,Personal Auto,Sports Car,64.109663
North West,,High School or Below,549944.0,88768.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
West,,High School or Below,1502359.0,28262.0,192.0,0.0,Personal Auto,Luxury Vehicle,921.6
Central,,Bachelor,250910.0,33555.0,63.0,0.0,Personal Auto,Four-Door Car,101.89645
North West,,College,3122174.0,42780.0,113.0,1.0,Personal Auto,Four-Door Car,542.4
North West,,Master,313350.0,58850.0,78.0,0.0,Personal Auto,Four-Door Car,143.747794
Central,,College,383745.0,21880.0,97.0,0.0,Special Auto,Four-Door Car,424.077159
North West,,College,1179049.0,25251.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
East,F,High School or Below,282986.0,25317.0,71.0,0.0,Personal Auto,Two-Door Car,50.422181
Central,,High School or Below,430580.0,24188.0,109.0,0.0,Personal Auto,Sports Car,523.2
Central,,Bachelor,597397.0,41611.0,74.0,0.0,Special Auto,Four-Door Car,113.801497
North West,,Bachelor,567044.0,28406.0,72.0,1.0,Personal Auto,Four-Door Car,192.87572
Central,,College,473174.0,69833.0,118.0,0.0,Personal Auto,Four-Door Car,828.662719
Central,,High School or Below,802637.0,0.0,74.0,0.0,Corporate Auto,Four-Door Car,532.8
Central,,High School or Below,402296.0,0.0,117.0,0.0,Personal Auto,SUV,975.107098
North West,,High School or Below,961831.0,80536.0,119.0,0.0,Special Auto,Sports Car,53.798708
East,F,Bachelors,725595.0,88891.0,89.0,0.0,Personal Auto,Four-Door Car,50.528355
North West,,College,955292.0,97732.0,79.0,0.0,Personal Auto,Four-Door Car,289.9122
Central,F,Bachelor,1038855.0,61222.0,89.0,0.0,Special Auto,Four-Door Car,392.604371
North West,M,College,247012.0,0.0,74.0,0.0,Personal Auto,Two-Door Car,721.242206
Central,M,Master,561906.0,50335.0,140.0,0.0,Personal Auto,SUV,456.52385
West,F,High School or Below,904711.0,0.0,127.0,0.0,Personal Auto,Sports Car,1087.995426
East,F,Doctor,268731.0,82210.0,68.0,4.0,Personal Auto,Four-Door Car,51.961915
North West,F,High School or Below,373150.0,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
Central,M,Bachelor,366077.0,64495.0,92.0,0.0,Corporate Auto,Four-Door Car,251.992083
West,F,College,792882.0,0.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
Central,F,Bachelor,501175.0,28859.0,67.0,3.0,Corporate Auto,Two-Door Car,321.6
Central,F,High School or Below,798825.0,77330.0,99.0,0.0,Personal Auto,Four-Door Car,99.257608
North West,M,College,388545.0,0.0,105.0,0.0,Corporate Auto,Four-Door Car,504.0
East,F,High School or Below,935773.0,33060.0,117.0,0.0,Personal Auto,Four-Door Car,56.731578
East,M,Master,254068.0,42557.0,65.0,0.0,Personal Auto,Four-Door Car,57.562324
Central,M,High School or Below,488516.0,26372.0,126.0,0.0,Personal Auto,SUV,604.8
Central,F,Bachelor,975330.0,17514.0,127.0,0.0,Personal Auto,SUV,8.312729
West,F,Bachelor,294615.0,89270.0,74.0,0.0,Personal Auto,Four-Door Car,316.599228
West,M,High School or Below,258111.0,29757.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
North West,M,College,351738.0,51814.0,92.0,0.0,Personal Auto,Four-Door Car,56.300724
North West,F,Bachelor,974335.0,24028.0,82.0,0.0,Personal Auto,Four-Door Car,393.6
Central,M,College,387364.0,28142.0,105.0,0.0,Personal Auto,Sports Car,701.708239
Central,F,Bachelor,764928.0,52705.0,64.0,1.0,Personal Auto,Two-Door Car,128.705563
West,M,High School or Below,228759.0,0.0,63.0,0.0,Corporate Auto,Two-Door Car,679.368378
East,F,High School or Below,825576.0,54040.0,103.0,0.0,Personal Auto,SUV,59.987126
West,F,College,871492.0,0.0,118.0,0.0,Personal Auto,SUV,566.4
East,F,Doctor,681923.0,22492.0,85.0,0.0,Personal Auto,Two-Door Car,61.654262
West,M,Bachelor,741619.0,0.0,77.0,2.0,Personal Auto,Four-Door Car,554.4
North West,M,Master,777115.0,21876.0,68.0,0.0,Personal Auto,Four-Door Car,465.41477
West,F,Bachelor,696834.0,0.0,69.0,1.0,Personal Auto,Four-Door Car,496.8
West,F,High School or Below,425028.0,0.0,61.0,1.0,Personal Auto,Four-Door Car,292.8
North West,F,High School or Below,1977656.0,70699.0,82.0,0.0,Personal Auto,Four-Door Car,256.813837
West,F,High School or Below,2134346.0,0.0,74.0,1.0,Personal Auto,Four-Door Car,355.2
West,M,College,241313.0,27501.0,63.0,0.0,Personal Auto,Four-Door Car,542.319401
North West,F,Doctor,1536384.0,15897.0,101.0,0.0,Personal Auto,Four-Door Car,303.148399
Central,F,College,845696.0,25141.0,73.0,1.0,Personal Auto,Four-Door Car,25.438063
Central,F,College,218964.0,0.0,61.0,3.0,Personal Auto,Four-Door Car,292.8
West,M,High School or Below,578018.0,51066.0,74.0,0.0,Personal Auto,Four-Door Car,787.993313
West,F,Bachelor,463998.0,28358.0,117.0,0.0,Personal Auto,Sports Car,84.024413
East,F,Doctor,382443.0,62530.0,95.0,0.0,Personal Auto,Four-Door Car,61.693771
Central,F,Bachelor,596811.0,90972.0,74.0,0.0,Personal Auto,Two-Door Car,232.926145
East,F,Bachelor,859033.0,63110.0,72.0,0.0,Personal Auto,Four-Door Car,68.179721
West,F,Bachelor,407663.0,29549.0,104.0,0.0,Personal Auto,Sports Car,710.433775
West,F,Bachelor,1225260.0,0.0,115.0,1.0,Personal Auto,Four-Door Car,552.0
Central,F,Bachelor,1693627.0,39411.0,217.0,2.0,Personal Auto,Luxury Vehicle,1122.658899
North West,M,High School or Below,489243.0,21709.0,62.0,0.0,Personal Auto,Four-Door Car,408.374746
Central,M,Bachelor,994230.0,67890.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
West,M,Bachelor,373583.0,0.0,110.0,0.0,Personal Auto,SUV,792.0
West,F,High School or Below,1311752.0,84311.0,111.0,4.0,Personal Auto,SUV,532.8
West,F,College,457452.0,99316.0,114.0,0.0,Corporate Auto,SUV,754.358929
Central,F,Bachelor,547006.0,54507.0,138.0,0.0,Personal Auto,SUV,702.990032
West,F,Bachelor,297884.0,64586.0,76.0,0.0,Personal Auto,Four-Door Car,206.837111
North West,M,College,641096.0,61709.0,82.0,2.0,Personal Auto,Four-Door Car,275.395894
West,M,Master,447902.0,94656.0,111.0,1.0,Special Auto,SUV,459.738128
West,F,High School or Below,238373.0,0.0,69.0,0.0,Special Auto,Two-Door Car,496.8
West,M,Bachelor,276449.0,61085.0,70.0,1.0,Personal Auto,Two-Door Car,336.0
North West,F,Bachelor,792010.0,89284.0,67.0,3.0,Personal Auto,Two-Door Car,321.6
Central,F,High School or Below,688909.0,0.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
East,F,Bachelor,327419.0,31686.0,81.0,0.0,Personal Auto,Four-Door Car,430.994107
North West,M,High School or Below,995170.0,56855.0,255.0,0.0,Corporate Auto,Luxury Vehicle,1836.0
North West,M,Bachelor,252155.0,53703.0,67.0,2.0,Special Auto,Four-Door Car,67.632476
East,F,High School or Below,2370611.0,0.0,96.0,1.0,Personal Auto,Two-Door Car,844.481918
West,M,College,604702.0,20396.0,76.0,1.0,Personal Auto,Four-Door Car,364.8
West,F,Master,1114030.0,27679.0,150.0,0.0,Personal Auto,SUV,722.486994
Central,F,Bachelor,433406.0,23904.0,123.0,3.0,Personal Auto,SUV,590.4
Central,F,High School or Below,279974.0,65351.0,69.0,0.0,Corporate Auto,Four-Door Car,481.027516
West,M,College,792313.0,0.0,113.0,0.0,Personal Auto,SUV,1124.427734
West,M,High School or Below,368811.0,0.0,63.0,3.0,Personal Auto,Four-Door Car,669.682001
West,M,College,1206745.0,0.0,116.0,0.0,Personal Auto,SUV,1284.093173
West,F,College,292497.0,64459.0,72.0,0.0,Personal Auto,Four-Door Car,240.259479
West,M,College,1501409.0,32961.0,190.0,0.0,Corporate Auto,SUV,912.0
North West,F,High School or Below,927723.0,71416.0,116.0,0.0,Corporate Auto,SUV,556.8
East,F,Bachelor,627412.0,68964.0,78.0,0.0,Personal Auto,Four-Door Car,115.086827
West,M,High School or Below,388664.0,78108.0,98.0,0.0,Personal Auto,Two-Door Car,470.4
West,M,College,438627.0,10621.0,67.0,0.0,Special Auto,Four-Door Car,321.6
East,M,College,1136526.0,84910.0,95.0,0.0,Corporate Auto,Two-Door Car,383.167471
West,F,High School or Below,561096.0,77493.0,70.0,0.0,Special Auto,Four-Door Car,307.963291
Central,M,College,291289.0,81097.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
North West,F,College,691572.0,96610.0,85.0,0.0,Corporate Auto,Four-Door Car,520.364752
North West,M,College,626266.0,30110.0,159.0,0.0,Corporate Auto,Sports Car,466.436375
North West,F,High School or Below,650339.0,22081.0,84.0,0.0,Special Auto,Two-Door Car,451.670309
East,F,High School or Below,800739.0,0.0,112.0,0.0,Personal Auto,Sports Car,537.6
West,M,College,292991.0,98473.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
North West,F,Bachelor,596955.0,97431.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
West,M,Bachelor,547315.0,93870.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
Central,M,High School or Below,564539.0,50366.0,72.0,0.0,Personal Auto,Four-Door Car,428.734656
East,M,High School or Below,636926.0,34498.0,83.0,0.0,Personal Auto,Two-Door Car,398.4
North West,F,College,1183376.0,16552.0,103.0,0.0,Personal Auto,SUV,494.4
North West,F,College,612110.0,26787.0,77.0,0.0,Personal Auto,Four-Door Car,369.6
Central,M,College,515936.0,0.0,74.0,0.0,Personal Auto,Two-Door Car,831.752839
Central,F,High School or Below,251459.0,43860.0,65.0,0.0,Corporate Auto,Four-Door Car,156.124914
Central,M,High School or Below,866861.0,21474.0,114.0,2.0,Corporate Auto,SUV,373.428187
West,M,Bachelor,496096.0,18174.0,66.0,0.0,Corporate Auto,Four-Door Car,395.934815
Central,F,Bachelor,550413.0,0.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
Central,M,College,750745.0,60920.0,64.0,0.0,Personal Auto,Two-Door Car,231.201886
Central,M,High School or Below,3226985.0,41520.0,90.0,0.0,Personal Auto,Four-Door Car,289.904105
North West,F,Bachelor,565703.0,0.0,152.0,0.0,Personal Auto,SUV,729.6
Central,M,High School or Below,506175.0,0.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
West,M,Bachelor,591278.0,72208.0,73.0,0.0,Personal Auto,Two-Door Car,350.4
West,F,Bachelor,1518227.0,53863.0,63.0,0.0,Personal Auto,Four-Door Car,105.765111
East,M,College,1074703.0,66446.0,136.0,0.0,Corporate Auto,SUV,639.464548
East,M,College,205062.0,0.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
East,F,Bachelor,246544.0,64997.0,63.0,1.0,Personal Auto,Four-Door Car,383.442328
Central,F,High School or Below,534312.0,64460.0,66.0,0.0,Corporate Auto,Two-Door Car,316.8
Central,F,College,811982.0,46618.0,67.0,0.0,Personal Auto,Four-Door Car,99.085943
North West,F,College,460526.0,0.0,64.0,0.0,Corporate Auto,Four-Door Car,307.2
West,M,College,640878.0,49988.0,84.0,5.0,Personal Auto,Two-Door Car,566.935022
West,F,College,237653.0,0.0,91.0,5.0,Personal Auto,Two-Door Car,436.8
West,M,Bachelor,321107.0,16269.0,86.0,0.0,Corporate Auto,Two-Door Car,412.8
Central,F,Bachelor,509452.0,72006.0,64.0,0.0,Personal Auto,Four-Door Car,307.2
Central,F,High School or Below,2575527.0,0.0,81.0,2.0,Personal Auto,Four-Door Car,388.8
North West,M,Bachelor,867222.0,0.0,245.0,0.0,Corporate Auto,Luxury Vehicle,2345.413441
West,M,Master,804473.0,44320.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Central,F,High School or Below,400151.0,19782.0,108.0,0.0,Personal Auto,Two-Door Car,773.470977
Central,F,Bachelor,1670611.0,63933.0,70.0,0.0,Personal Auto,Two-Door Car,424.883448
Central,M,Doctor,854441.0,28224.0,109.0,0.0,Personal Auto,SUV,523.2
East,F,College,780531.0,21073.0,106.0,1.0,Personal Auto,SUV,508.8
North West,M,Bachelor,611275.0,63243.0,77.0,0.0,Personal Auto,Four-Door Car,364.240307
Central,M,High School or Below,477294.0,20993.0,133.0,0.0,Personal Auto,SUV,638.4
North West,F,Bachelor,1097909.0,94827.0,135.0,0.0,Personal Auto,SUV,354.729129
West,F,Master,500426.0,39161.0,63.0,1.0,Personal Auto,Two-Door Car,283.995953
East,M,Bachelor,1322304.0,37534.0,84.0,2.0,Personal Auto,Four-Door Car,403.2
North West,F,Bachelor,262331.0,80210.0,65.0,0.0,Corporate Auto,Four-Door Car,20.543176
West,M,Bachelor,1784019.0,0.0,62.0,0.0,Personal Auto,Four-Door Car,385.115437
West,F,College,510611.0,30110.0,64.0,0.0,Personal Auto,Four-Door Car,140.165035
Central,F,College,1793060.0,21708.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
Central,M,High School or Below,545734.0,94731.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
West,M,Bachelor,656364.0,32375.0,83.0,0.0,Personal Auto,Four-Door Car,398.4
North West,M,College,481252.0,16531.0,63.0,0.0,Corporate Auto,Four-Door Car,102.879769
Central,F,Master,2932804.0,32006.0,94.0,0.0,Corporate Auto,Four-Door Car,56.868289
Central,F,Bachelor,577352.0,81676.0,72.0,0.0,Personal Auto,Two-Door Car,463.158502
West,M,College,684711.0,71038.0,86.0,0.0,Corporate Auto,Four-Door Car,205.444066
Central,F,High School or Below,359531.0,0.0,103.0,0.0,Corporate Auto,Sports Car,741.6
Central,F,Master,2285561.0,20832.0,65.0,0.0,Personal Auto,Two-Door Car,56.371967
East,M,High School or Below,785941.0,0.0,113.0,0.0,Personal Auto,SUV,813.6
North West,M,High School or Below,411557.0,52405.0,103.0,0.0,Personal Auto,Four-Door Car,494.4
Central,F,High School or Below,502963.0,0.0,133.0,0.0,Personal Auto,Sports Car,795.864079
East,F,Bachelor,482141.0,26583.0,1005.0,4.0,Personal Auto,SUV,614.4
North West,M,Master,500431.0,25486.0,65.0,0.0,Special Auto,Two-Door Car,72.438681
Central,M,College,863005.0,24065.0,111.0,0.0,Corporate Auto,Four-Door Car,532.8
Central,F,High School or Below,932208.0,70435.0,116.0,0.0,Personal Auto,Four-Door Car,67.881546
West,M,College,1672756.0,0.0,76.0,2.0,Personal Auto,Two-Door Car,402.636829
North West,F,High School or Below,365253.0,39679.0,92.0,0.0,Personal Auto,Two-Door Car,641.388616
Central,M,College,615860.0,0.0,89.0,0.0,Personal Auto,Four-Door Car,342.481173
West,M,Bachelor,437608.0,0.0,69.0,4.0,Personal Auto,Two-Door Car,331.2
Central,M,High School or Below,556945.0,53565.0,71.0,1.0,Personal Auto,Four-Door Car,340.8
East,M,Bachelor,257651.0,37574.0,66.0,1.0,Personal Auto,Two-Door Car,412.101933
East,M,Bachelor,834698.0,48259.0,108.0,0.0,Personal Auto,Two-Door Car,73.700573
Central,F,High School or Below,632392.0,78532.0,78.0,0.0,Personal Auto,Four-Door Car,374.4
Central,F,Bachelor,597314.0,96163.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
West,M,Bachelor,470667.0,0.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
West,M,High School or Below,809341.0,0.0,114.0,1.0,Personal Auto,Sports Car,722.024742
East,M,College,503574.0,72672.0,63.0,0.0,Personal Auto,Four-Door Car,259.361117
North West,F,Bachelor,902786.0,99002.0,112.0,1.0,Personal Auto,Four-Door Car,537.6
West,M,High School or Below,728888.0,79494.0,91.0,0.0,Personal Auto,Four-Door Car,396.295614
North West,M,Master,1804247.0,35704.0,225.0,0.0,Personal Auto,Luxury Vehicle,358.281562
Central,F,Bachelor,499206.0,0.0,71.0,0.0,Corporate Auto,Four-Door Car,653.388564
North West,F,High School or Below,910226.0,26049.0,118.0,0.0,Personal Auto,Two-Door Car,121.032372
Central,M,Doctor,254040.0,70125.0,64.0,0.0,Special Auto,Four-Door Car,92.813396
West,M,College,1294189.0,52369.0,110.0,1.0,Personal Auto,SUV,528.0
East,F,Bachelor,236534.0,0.0,66.0,2.0,Special Auto,Four-Door Car,159.636956
Central,M,College,572076.0,41770.0,72.0,0.0,Personal Auto,Four-Door Car,476.156957
North West,M,High School or Below,703553.0,0.0,101.0,0.0,Corporate Auto,Four-Door Car,727.2
West,M,College,263697.0,31911.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Central,M,Bachelor,539583.0,70051.0,68.0,0.0,Corporate Auto,Four-Door Car,42.078345
North West,M,High School or Below,838263.0,19683.0,117.0,1.0,Personal Auto,Sports Car,561.6
